NOM_LOGIQUE;LIBELLE;libelle long eq;NOM_STATION;libelle long station;MNEMONIQUE;Libelle (type eq.)
INGP-MONI-00000000000002175136043-00-0A-IN-LC001;MOVS_5;MOVS_5 - Boissy-Saint-Léger;R-BOISSY-SAINT-LEGER;RER A - Boissy-Saint-Léger;EMONITEUR;Moniteur de téléaffichage CDSMG et Symphonie
INGP-MONI-00000000000002176136043-00-0A-IN-LC001;MOVS_6;MOVS_6 - Boissy-Saint-Léger;R-BOISSY-SAINT-LEGER;RER A - Boissy-Saint-Léger;EMONITEUR;Moniteur de téléaffichage CDSMG et Symphonie
M2EP-MIOR-000003512!!!!!!!!118055000AIN!!!!LC044;PASSERELLE SYMPHONIE;PASSERELLE SYMPHONIE - Bercy_L14;M-BERCY-L 14;Ligne 14 - Bercy;PC_I;PC industriel
BIB---NDS-00013;NDS B;NDS B - Bibliothèque Francois Mitterand_L14;M-BIBLIOTHEQUE FRANCOIS M;Ligne 14 - Bibliothèque Francois Mitterand;PC_I;PC industriel
INGP-IMAG-00000000000003761101081-00-0G-IN-CR213;MIV_207;MIV_207 - Grande arche de La Défense;M-LA DEFENSE - GRANDE ARC; Ligne 1 - Grande arche de La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000003762101081-00-0G-IN-CR213;MIV_208;MIV_208 - Grande arche de La Défense;M-LA DEFENSE - GRANDE ARC; Ligne 1 - Grande arche de La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000003763101081-00-0G-IN-CR213;MIV_209;MIV_209 - Grande arche de La Défense;M-LA DEFENSE - GRANDE ARC; Ligne 1 - Grande arche de La Défense;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004054146039-00-0G-IN-SA205;MIV_101;MIV_101 - Noisy Champs;R-NOISY - CHAMPS;RER A - Noisy Champs;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004055146039-00-0G-IN-SA205;MIV_102;MIV_102 - Noisy Champs;R-NOISY - CHAMPS;RER A - Noisy Champs;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004056146039-00-0G-IN-SA205;MIV_103;MIV_103 - Noisy Champs;R-NOISY - CHAMPS;RER A - Noisy Champs;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004057146039-00-0G-IN-SA205;MIV_104;MIV_104 - Noisy Champs;R-NOISY - CHAMPS;RER A - Noisy Champs;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004058146039-00-0G-IN-SA205;MIV_105;MIV_105 - Noisy Champs;R-NOISY - CHAMPS;RER A - Noisy Champs;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004059146039-00-0G-IN-SA205;MIV_106;MIV_106 - Noisy Champs;R-NOISY - CHAMPS;RER A - Noisy Champs;IMAGE_V4;Afficheur IMAGE V4
INGP-IMAG-00000000000004060146039-00-0G-IN-SA205;MIV_107;MIV_107 - Noisy Champs;R-NOISY - CHAMPS;RER A - Noisy Champs;IMAGE_V4;Afficheur IMAGE V4
MAD---NDS-00013;NDS B;NDS B - Madeleine_L14;M-MADELEINE-L 14;Ligne 14 - Madeleine;PC_I;PC industriel
OLY---NDS-00013;NDS B;NDS B - Olympiades_L14;M-OLYMPIADES;Ligne 14 - Olympiades;PC_I;PC industriel
PYR---NDS-00013;NDS B;NDS B - Pyramides_L14;M-PYRAMIDES-L 14;Ligne 14 - Pyramides;PC_I;PC industriel
INGP-IMAG-00000000000003766137029-00-0G-IN-SA200;MIV_201;MIV_201 - La Défense;R-LA DEFENSE;RER A - La Défense;IMAGE_V4;Afficheur IMAGE V4
